"item","addressed_in_study"
"1. Marker examined / rationale","25-gene TCGA/GTEx DEG-derived prognostic signature; stromal/CAF biology"
"2. Patient/study population, inclusion/exclusion","TCGA-STAD primary tumors (n=412); external GSE84437, ACRG/GSE62254, GSE15459"
"3. Treatments received","Standard-of-care resection; systemic therapy not uniformly annotated (limitation)"
"4. Specimen type (tissue/RNA)","Bulk tumor RNA (fresh-frozen TCGA; FFPE/array external cohorts)"
"5. Assay method / platform","TCGA RNA-seq (VST); external Affymetrix/Illumina arrays"
"6. Marker measurement / scoring & cutpoints","z-scored expression; Cox linear predictor; high-risk = median split"
"7. Variables & covariates in analysis","Age, stage, grade, Lauren, MSI, EBV (results/biomarker/tcga_multivariable_independence.csv)"
"8. Statistical methods","Cox PH; Harrell C-index; bootstrap optimism (B=200); DL random-effects meta; Spearman"
"9. Study design (training/validation)","Discovery TCGA+GTEx; independent external validation; no cohort overlap"
"10. Patient flow / numbers analyzed","results/validation_multi/cindex_HR_summary.csv; TCGA MV complete-case N reported"
"11. Distribution of marker & covariates","col_data clinical distributions; immune deconvolution scores"
"12. Univariable prognostic association","results/validation_multi/cindex_HR_summary.csv (per-cohort HR/C-index)"
"13. Multivariable (independence) analysis","results/biomarker/tcga_multivariable_independence.csv"
"14. External validation cohorts","3 cohorts: GSE84437, ACRG/GSE62254, GSE15459"
"15. Pooled effect / heterogeneity","results/biomarker/meta_analysis_pooled_HR.csv (pooled HR, 95% CI, I^2)"
"16. Clinical utility / deployable assay","results/biomarker/minimal_panel.csv (<=5-gene qPCR/NanoString-feasible panel)"
"17. Limitations / missing data","Missing molecular annotation reduces MV N; treatment heterogeneity; array-platform gene coverage"
