"ID","Description","setSize","NES","pvalue","p.adjust"
"hsa05132","Salmonella infection",248,-1.91274392484018,1.28981803457691e-07,9.29195441236021e-07
"hsa04920","Adipocytokine signaling pathway",70,-2.14465756412768,7.76260989530226e-06,3.8594384409038e-05
"hsa04060","Cytokine-cytokine receptor interaction",277,1.40487532767219,0.00247451809986472,0.00646187424212533
"hsa04657","IL-17 signaling pathway",92,1.63570666057155,0.00255467264203193,0.0065286759731924
"hsa05169","Epstein-Barr virus infection",189,1.42079063613154,0.00798925491751305,0.0163017744848677
"hsa04061","Viral protein interaction with cytokine and cytokine receptor",97,1.42219920452268,0.00991134541129496,0.0196556456752085
"hsa05135","Yersinia infection",136,-1.30766670831512,0.0293934434585308,0.0514047151575715
"hsa05163","Human cytomegalovirus infection",213,-1.27744619105054,0.0339370107474857,0.057876968264115
"hsa05130","Pathogenic Escherichia coli infection",196,-1.23858466867513,0.0600689832693211,0.0950867762065936
"hsa04062","Chemokine signaling pathway",189,-1.21553399243268,0.0629370629370629,0.0984705656021547
"hsa05170","Human immunodeficiency virus 1 infection",200,-1.21445885852786,0.0633802816901408,0.0985605261525098
"hsa05166","Human T-cell leukemia virus 1 infection",220,1.22690569761032,0.0875420875420875,0.129298564445008
"hsa05168","Herpes simplex virus 1 infection",164,1.17935969964602,0.129662522202487,0.182354065089553
"hsa05100","Bacterial invasion of epithelial cells",77,-1.19850979257017,0.148796498905908,0.205176422319475
"hsa05120","Epithelial cell signaling in Helicobacter pylori infection",70,-1.16758073603163,0.209401709401709,0.270839520839521
"hsa05165","Human papillomavirus infection",320,1.08410141901743,0.224793388429752,0.285439086747131
"hsa04620","Toll-like receptor signaling pathway",95,1.08756681172253,0.277676950998185,0.351326034775482
"hsa05110","Vibrio cholerae infection",50,-1.10570736491435,0.280623608017817,0.353786191536748
"hsa05167","Kaposi sarcoma-associated herpesvirus infection",184,-1.06562500050967,0.282758620689655,0.35520922812615
"hsa05340","Primary immunodeficiency",37,-1.07828100500788,0.333333333333333,0.406656873357044
"hsa04668","TNF signaling pathway",118,1.0530661968121,0.365107913669065,0.439874039335085
"hsa04064","NF-kappa B signaling pathway",103,0.955667599277974,0.542039355992844,0.601697775677591
"hsa04621","NOD-like receptor signaling pathway",169,-0.923212533702057,0.678082191780822,0.716655729636617
"hsa04630","JAK-STAT signaling pathway",153,0.860849144783232,0.813993174061433,0.837724753480134
"hsa05150","Staphylococcus aureus infection",86,0.772611773862032,0.88354898336414,0.901424251813704
