"gene","dominant_cell_type","frac_in_dominant","panel"
"ANTXR1","Fibroblast",0.863,"stromal_hub"
"COL6A3","Fibroblast",0.977,"stromal_hub"
"SPARC","Fibroblast",0.653,"stromal_hub"
"POSTN","Fibroblast",0.973,"stromal_hub"
"MXRA8","Fibroblast",0.98,"stromal_hub"
"FN1","Fibroblast",0.914,"stromal_hub"
"COL8A1","Fibroblast",0.998,"stromal_hub"
"VCAN","Fibroblast",0.972,"stromal_hub"
"GFPT2","Fibroblast",0.527,"stromal_hub"
"THBS2","Fibroblast",0.82,"stromal_hub"
"AEBP1","Fibroblast",0.924,"stromal_hub"
"BGN","Fibroblast",0.972,"stromal_hub"
"SULF1","Fibroblast",0.773,"stromal_hub"
"COL5A1","Fibroblast",0.937,"stromal_hub"
"BICC1","Fibroblast",0.97,"stromal_hub"
"FBN1","Fibroblast",0.932,"stromal_hub"
"ISLR","Fibroblast",0.902,"stromal_hub"
"CDH11","Fibroblast",0.96,"stromal_hub"
"SFRP4","Fibroblast",0.987,"stromal_hub"
"SCARF2","Fibroblast",0.736,"stromal_hub"
"PRRX1","Fibroblast",0.979,"stromal_hub"
"FNDC1","Fibroblast",0.983,"stromal_hub"
"ITGA11","Fibroblast",0.984,"stromal_hub"
