"coef","exp(coef)","se(coef)","z","Pr(>|z|)","term"
-1.44948785550531,0.234690452743669,1.22569127048174,-1.18258805493132,0.236972448853665,"stageStage IA"
-0.26106594363767,0.770230126163983,1.05003484367439,-0.248625981518977,0.803650109097913,"stageStage IB"
-0.635947883433427,0.529433409241219,1.08163827344599,-0.587948761657039,0.556566685370385,"stageStage II"
-1.01945632377958,0.360791040369931,1.09578828187326,-0.930340596485303,0.352194764811786,"stageStage IIA"
-0.333888930548316,0.716133318345112,1.03553778833817,-0.32243046493179,0.74712660785478,"stageStage IIB"
1.66759393334508,5.29940173154017,1.15813924844938,1.43989070017081,0.149898324602315,"stageStage III"
0.143579055055922,1.15439806820372,1.02123455534251,0.140593612216508,0.888190994825082,"stageStage IIIA"
0.049588163051648,1.05083823323644,1.02419534150305,0.048416704355319,0.961384146766527,"stageStage IIIB"
0.434833744087929,1.54470622105986,1.03324027446232,0.420844749121117,0.673868452587352,"stageStage IIIC"
0.579919268799441,1.78589424754343,1.0290307220841,0.563558751312036,0.573054465690537,"stageStage IV"
