"gene","module","MM","GS","GS_trait"
"PDZD4","turquoise",0.927,-0.359,"status_Tumor"
"RNF150","turquoise",0.917,-0.255,"status_Tumor"
"FHL1","turquoise",0.912,-0.407,"status_Tumor"
"MAPK10","turquoise",0.912,-0.311,"status_Tumor"
"ANK2","turquoise",0.91,-0.277,"status_Tumor"
"CLIP3","turquoise",0.91,-0.271,"status_Tumor"
"BHMT2","turquoise",0.909,-0.336,"status_Tumor"
"C14orf132","turquoise",0.909,-0.304,"status_Tumor"
"GNAO1","turquoise",0.908,-0.286,"status_Tumor"
"ADAM33","turquoise",0.906,-0.284,"status_Tumor"
"GPRASP1","turquoise",0.906,-0.248,"status_Tumor"
"DACT3","turquoise",0.905,-0.311,"status_Tumor"
"METTL24","turquoise",0.904,-0.337,"status_Tumor"
"ANGPTL1","turquoise",0.903,-0.356,"status_Tumor"
"MAP6","turquoise",0.903,-0.326,"status_Tumor"
"CDH11","red",0.925,0.419,"Leukocyte_pct"
"COL8A1","red",0.914,0.361,"Leukocyte_pct"
"COL1A2","red",0.913,0.323,"Leukocyte_pct"
"FNDC1","red",0.912,0.331,"Leukocyte_pct"
"ANTXR1","red",0.909,0.256,"Leukocyte_pct"
"COL3A1","red",0.907,0.359,"Leukocyte_pct"
"AEBP1","red",0.901,0.336,"Leukocyte_pct"
"SPARC","red",0.896,0.322,"Leukocyte_pct"
"LUM","red",0.891,0.37,"Leukocyte_pct"
"COL6A3","red",0.89,0.458,"Leukocyte_pct"
"BGN","red",0.886,0.337,"Leukocyte_pct"
"FBN1","red",0.884,0.456,"Leukocyte_pct"
"ISLR","red",0.883,0.307,"Leukocyte_pct"
"PRRX1","red",0.881,0.46,"Leukocyte_pct"
"FAP","red",0.881,0.311,"Leukocyte_pct"
